Id,en,es,fr,de,pt,it,nl,ru,ja,ko,zh,zh_TW,ar,hi,tr,pl,th,id
/month,/month,,,,,,,,,,,,,,,,,
ADMIT,ADMIT,,,,,,,,,,,,,,,,,
Add custom tag,Add custom tag,,,,,,,,,,,,,,,,,
Apply Filters,Apply Filters,,,,,,,,,,,,,,,,,
Bar,Bar,,,,,,,,,,,,,,,,,
Blockchain,Blockchain,,,,,,,,,,,,,,,,,
By source,By source,,,,,,,,,,,,,,,,,
Camera Unavailable,Camera Unavailable,,,,,,,,,,,,,,,,,
Camera error,Camera error,,,,,,,,,,,,,,,,,
Cancel,Cancel,Cancelar,Annuler,Abbrechen,Cancelar,Annulla,Annuleren,Отмена,キャンセル,취소,取消,取消,إلغاء,रद्द,İptal,Anuluj,ยกเลิก,Batal
Capacity,Capacity,,,,,,,,,,,,,,,,,
Categories,Categories,,,,,,,,,,,,,,,,,
Category,Category,,,,,,,,,,,,,,,,,
Check In,Check In,,,,,,,,,,,,,,,,,
Checking in...,Checking in...,,,,,,,,,,,,,,,,,
Checking...,Checking...,,,,,,,,,,,,,,,,,
Clear all,Clear all,,,,,,,,,,,,,,,,,
Color,Color,Color,Couleur,Farbe,Cor,Colore,Kleur,Цвет,色,색상,颜色,顏色,اللون,रंग,Renk,Kolor,สี,Warna
Create,Create,Crear,Créer,Erstellen,Criar,Crea,Maken,Создать,作成,만들기,创建,建立,إنشاء,बनाएं,Oluştur,Utwórz,สร้าง,Buat
Create Venue,Create Venue,Crear lugar,Créer un lieu,Veranstaltungsort erstellen,Criar local,Crea luogo,Locatie maken,Создать площадку,会場を作成,장소 생성,创建场馆,建立場館,إنشاء مكان,स्थल बनाएं,Mekan oluştur,Utwórz miejsce,สร้างสถานที่,Buat Tempat
Current,Current,,,,,,,,,,,,,,,,,
Current Plan,Current Plan,,,,,,,,,,,,,,,,,
Curve,Curve,,,,,,,,,,,,,,,,,
DENY,DENY,,,,,,,,,,,,,,,,,
Database,Database,,,,,,,,,,,,,,,,,
Direction,Direction,,,,,,,,,,,,,,,,,
Dismiss,Dismiss,Cerrar,Fermer,Schließen,Fechar,Chiudi,Sluiten,Закрыть,閉じる,닫기,关闭,關閉,إغلاق,खारिज,Kapat,Zamknij,ปิด,Tutup
Downgrade,Downgrade,,,,,,,,,,,,,,,,,
Element,Element,,,,,,,,,,,,,,,,,
Email,Email,Correo,E-mail,E-Mail,E-mail,E-mail,E-mail,Эл. почта,メール,이메일,电邮,電郵,البريد الإلكتروني,ईमेल,E-posta,E-mail,อีเมล,Email
Ended,Ended,,,,,,,,,,,,,,,,,
Enter tag name...,Enter tag name...,,,,,,,,,,,,,,,,,
Entry,Entry,,,,,,,,,,,,,,,,,
Error,Error,Error,Erreur,Fehler,Erro,Errore,Fout,Ошибка,エラー,오류,错误,錯誤,خطأ,त्रुटि,Hata,Błąd,ข้อผิดพลาด,Kesalahan
Failed,Failed,Fallido,Échoué,Fehlgeschlagen,Falhou,Fallito,Mislukt,Не удалось,失敗,실패,失败,失敗,فشل,विफल,Başarısız,Nieudane,ล้มเหลว,Gagal
Filters,Filters,,,,,,,,,,,,,,,,,
